name,new_name
Taurean Prince,Taurean Waller-Prince
Moe Harkless,Maurice Harkless
Guillermo Hernangomez,Willy Hernangomez
Wes Iwundu,Wesley Iwundu
Mitch Creek,
Yante Maten,
TJ Leaf,T.J. Leaf
Luc Richard Mbah a Moute,Luc Mbah a Moute
Juancho Hernangomez,Juan Hernangomez
Michael Porter,
Ben Moore,
Donatas Motiejunas,
Isaac Humphries,
Timofey Mozgov,
Markelle Fultz,
John Henson,
Nazareth Mitrou-Long,Naz Mitrou-Long
B.J. Johnson,
Caleb Swanigan,Caleb Swanigan
Wenyen Gabriel,
Vincent Edwards,Vince Edwards
Trevon Duval,
Billy Garrett,
Svi Mykhailiuk,Sviatoslav Mykhailiuk
Isaiah Whitehead,
Jawun Evans,
Kristaps Porzingis,
Trevon Bluiett,
