GID,Name,Team
4224,"Harden, James",Hou
4079,"Westbrook, Russell",OKC
4523,"Lillard, Damian",Por
4173,"Curry, Stephen",GSW
4925,"Simmons, Ben",Phi
4440,"Walker, Kemba",Cha
4379,"Irving, Kyrie",Bos
4799,"Russell, D'Angelo",Bkn
3891,"Lowry, Kyle",Tor
5136,"Mitchell, Donovan",Uta
5670,"Doncic, Luka",Dal
5708,"Young, Trae",Atl
4266,"Bledsoe, Eric",Mil
4954,"Murray, Jamal",Den
5132,"Fox, De'Aaron",Sac
4657,"McCollum, C.J.",Por
4212,"Holiday, Jrue",Nor
4885,"Booker, Devin",Pho
3816,"Williams, Louis",LAC
3979,"Conley, Mike",Mem
3786,"Paul, Chris",Hou
4706,"LaVine, Zach",Chi
4369,"Jackson, Reggie",Det
4595,"Schroder, Dennis",OKC
4228,"Collison, Darren",Ind
4668,"Clarkson, Jordan",Cle
4414,"Rubio, Ricky",Uta
5721,"Sexton, Collin",Cle
4078,"Augustin, D.J.",Orl
3571,"Wade, Dwyane",Mia
4760,"Dinwiddie, Spencer",Bkn
5690,"Gilgeous-Alexander, Shai",LAC
5013,"Brogdon, Malcolm",Mil
4234,"Beverley, Patrick",LAC
4934,"VanVleet, Fred",Tor
5191,"Morris, Monte",Den
4787,"Winslow, Justise",Mia
4677,"Smart, Marcus",Bos
4980,"Satoransky, Tomas",Was
4995,"Forbes, Bryn",SAS
4823,"Rozier, Terry",Bos
5148,"White, Derrick",SAS
4999,"Beasley, Malik",Den
4245,"Mills, Patty",SAS
4405,"Joseph, Cory",Ind
4791,"Wright, Delon",Mem
4965,"Ingram, Brandon",LAL
4773,"Mudiay, Emmanuel",NYK
4073,"Rose, Derrick",Min
5212,"Smith Jr., Dennis",NYK
3872,"Rondo, Rajon",LAL
4297,"Lin, Jeremy",Tor
4962,"Arcidiacono, Ryan",Chi
4321,"Wall, John",Was
4483,"Rivers, Austin",Hou
4627,"Oladipo, Victor",Ind
5215,"Ball, Lonzo",LAL
4699,"Payton, Elfrid",Nor
4945,"Dunn, Kris",Chi
4102,"Hill, George",Mil
5664,"Brunson, Jalen",Dal
4876,"Jones, Tyus",Min
4831,"McConnell, T.J.",Phi
4221,"Teague, Jeff",Min
4756,"Johnson, Tyler",Pho
4735,"Galloway, Langston",Det
4269,"Bradley, Avery",Mem
5249,"Harrison, Shaquille",Chi
5701,"Trier, Allonzo",NYK
4441,"Burks, Alec",Sac
4564,"Curry, Seth",Por
4315,"Smith, Ishmael",Det
5133,"Monk, Malik",Cha
4615,"Burke, Trey",Dal
4776,"Hezonja, Mario",NYK
4863,"Cook, Quinn",GSW
4694,"Napier, Shabazz",Bkn
3116,"Crawford, Jamal",Pho
4717,"Frazier, Tim",Mil
3313,"Parker, Tony",Cha
4092,"Dragic, Goran",Mia
4377,"Mack, Shelvin",Cha
3882,"Barea, Jose",Dal
3651,"Livingston, Shaun",GSW
3637,"Harris, Devin",Dal
4970,"Ferrell, Yogi",Sac
5168,"Jackson, Frank",Nor
5742,"Melton, De'Anthony",Pho
4611,"Clark, Ian",Nor
4873,"Grant, Jerian",Orl
5711,"Okobo, Elie",Pho
4610,"Dellavedova, Matthew",Cle
5228,"Blakeney, Antonio",Chi
5747,"Holiday, Aaron",Ind
4882,"Payne, Cameron",Cle
5158,"Dorsey, Tyler",Mem
4707,"Exum, Dante",Uta
5011,"Randle, Chasson",Was
5658,"Graham, Devonte'",Cha
4076,"Bayless, Jerryd",Min
4382,"Knight, Brandon",Cle
5218,"Caruso, Alex",LAL
4575,"Carter-Williams, Michael",Orl
5231,"Wallace, Tyrone",LAC
4807,"Neto, Raul",Uta
5726,"Carter, Jevon",Mem
4569,"Canaan, Isaiah",Mil
5153,"Mason III, Frank",Sac
5113,"Allen, Kadeem",NYK
3740,"Calderon, Jose",Det
5181,"Briscoe, Isaiah",Orl
5131,"Fultz, Markelle",Orl
3747,"Felton, Raymond",OKC
5659,"Wanamaker, Brad",Bos
5709,"Adams, Jaylen",Atl
5677,"Allen, Grayson",Uta
4832,"McRae, Jordan",Was
5692,"Mykhailiuk, Sviatoslav",Det
4540,"Jenkins, John",NYK
5703,"Milton, Shake",Phi
5247,"Lemon Jr., Walter",Chi
5748,"Reynolds, Cameron",Min
4629,"Brown, Lorenzo",Tor
4420,"Thomas, Isaiah",Den
5769,"Sampson, Brandon",Chi
4948,"Harrison, Andrew",Nor
5662,"Simons, Anfernee",Por
5233,"Teodosic, Milos",LAC
5756,"Walker, Lonnie",SAS
5693,"Bonga, Isaac",LAL
4909,"Baldwin, Wade",Ind
5745,"Terrell, Jared",Min
5006,"Baker, Ron",Was
5668,"Macon, Daryl",Dal
5177,"Dozier, PJ",Bos
5661,"Loyd, Jordan",Tor
5727,"Goodwin, Brandon",Den
5200,"Mitrou-Long, Nazareth",Uta
4417,"Fredette, Jimmer",Pho
5235,"Evans, Jawun",OKC
4923,"Jackson, Demetrius",Phi
5773,"Chiozza, Chris",Hou
5791,"Hannahs, Dusty",Mem
4513,"Machado, Scott",LAL
5781,"Duval, Trevon",Hou
4713,"Lucas, Kalin",Det
5723,"Edwards, Vincent",Hou
5684,"Chealey, Joe",Cha
5739,"Lofton, Zach",Det
4901,"Valentine, Denzel",Chi
4906,"Whitehead, Isaiah",Det
4950,"Ulis, Tyler",Chi
4951,"Gibson, Jonathan",Bos
4963,"Murray, Dejounte",SAS
5671,"Nunn, Kendrick",Mia
5736,"Gaddy, Abdul",OKC
5751,"Alford, Bryce",OKC
5758,"Evans, Keenan",Det
5786,"McCall, Tahjere",Bkn
